Data,Label
"Please perform the following steps :1) Open Terminal on netbook (click the destop icon, or do Ctrl+Alt+t)2) Type alsamixer, when open navigate using left/right arrow keys3) Changed the alsamixer setting:Locate & press 'm' to change Left CLD mixer DACL to Left CLD mixer DACL [Off]Similarly navigate to right, press 'm' to change Right CLD mixer DACR to Right CLD mixer DACR [Off]Navigate to left, locate Output Boost, use down arrow key to make the value to 50If audio doesn't come from speaker(in few cases), you may try the following: 1) Try playing an audio/video file and keep the volume levels moderate2) Connect and disconnect headphone to netbookYour audio through speakers may work with the above steps, if not, there could be other issues, please report your issue as a new question. ",Not Spam
\r\nYou can use:import os.pathos.path.isfile(fname)\r\n\r\n\r\n\r\nif you need to be sure it's a file.\r\n    ,Not Spam
Could you please give us following  details:1) Does the printer works with Ubuntu based x86 operating systems?2) Which commands are used to access network printer? What are the error messages?,Not Spam
you can also useimport os.pathos.path.exists(fname),Not Spam
There is no package as lpadmin. lpadmin command is part of cups-client package.I recommend the following:sudo apt-get install cups cups-clientsudo usermod -aG lpadmin studentYou can now visit http://localhost:631/admin and view/edit printer settings. ,Not Spam
"I have run the  ""sudo apt-get install cups cups-client"" command .I have got the following error message""package cups is not available ,but is referred to by another package.this may mean that the package is missing,has been obsoleted ,or is only available from another sourceE:Package cups 'has  no installation candidate""",Not Spam
Do you have FOSSEE laptop(http://laptop.fossee.in)? Is it Ubuntu 14.04.1 based? I have verified the above commands on two of my new machines and they worked fine. Can you give me the output for following commands?1) cat /etc/lsb-release2) cat /proc/version,Not Spam
"this is Fosse laptopthe command gives DISTRIB_ID=UBUNTUDISTRIB_RELEASE=14.04DISTRIB_CODENAME=TRUSTYDISTRIB_DESCRIPTION=""UBUNTU 14.02.2LTS""Linux version 3.4.5 (srikant@gnu-linux-org) (gcc version 4.5.2 (Sourcery G++ Lite 2011.03-41) ) #1 SMP PREEMPT Fri Feb 27 19:50:43 IST 2015Kernel 0.26.00.00 (Feb 27 2015 - 19:48:13)",Not Spam
"Thanks for the information.Can you perform a sudo apt-get update ? And try the above mentioned steps.The only reason I could think of now is altered /etc/apt/sources.list, some repositories are turned off which is causing missing cups error.Please try enabling all repositories, either by modifying  /etc/apt/sources.list or through synaptic package manager.",Not Spam
Using Python We can convert it into a Sandhi block.You have to use scisicpy  library which in python.,Not Spam
Hii AnamaySandhi Scilab Code is the link .,Not Spam
"Hii Anamay,You can follow the code for Response Block in sandhi.",Not Spam
"Unfortunately, flash plugin is not available for ARM Linux desktops. FOSSEE Laptop is based on ARMv7 architecture. ",Not Spam
"There is no BIOS in FOSSEE Laptop.However, if you are using a dual boot device, you may look  into u-boot source code and modify it to obtain alternate boot order. You may also need support from vendor to re-flash u-boot to  NAND. We haven't changed the u-boot at FOSSEE. Optionally, you may also boot from 8GB sdcard, without worrying about NAND installation. In an GNU/Linux operating system, perform the following:1)  Get an 8GB or above sdcard, create first 50MB VFAT(boot) and remaining as ext4(rootfs) partition2)  Download and extract fossee-os.tar.gz to ext4 partition (use sudo or root to extract)3)  Download and extract boot.tar to boot partition4)  Insert the sdcard to FOSSEE-Laptop, and restart. FOSSEE-OS shall now boot from external SDCARD.",Not Spam
"Hello Ashwini,Please follow the steps:1. In the directory ""gr-D"" run the following command gr_modtooladd sub12. change the code for sub13. change your directory to ""build"" -- cd build (no need to create build directory everytime)4. run -- cmake ../5. run -- make6. run -- make installPlease make sure not to use ""sudo"" for any of the commands above.",Not Spam
You will also have to edit corresponding xml files. ,Not Spam
"If serial ports are n't closed properly in scilab-arduino toolbox, then run the the below program :ok=open_serial(1,2,115200)\r\nif ok~=0 then\r\n    error(['Unable to open serial port' ; 'Please reload the firmware and restart'; '']);\r\nelse close_serial(1);\r\n    disp('Serial port seems to be working');\r\nend;I think you are trying to use scilab-arduino toolbox based experiments and some independent arduino sketches simultaneously. It will be good either you use firmware for the toolbox first, perform some particular experiments and then use your independent arduino sketches or vice-versa.",Not Spam
"\r\n\r\nThere are 2 sides of this problem:\r\n\r\n1.      \r\nBeginning of the problem: \r\n\r\nIf some error is in the .sce file which is\r\nrun, then the mentioned problem comes.\r\n\r\nI feel there is some issue with the firmware.\r\n\r\n Size of the program affects the execution time\r\n(directly proportional).  \r\n\r\n2.      \r\nQuick Mitigation\r\n\r\nUnplug Arduino from the system. Close all\r\nthe programs both Scilab and Arduino environment. And start fresh. \r\n\r\nThis idea is not good if the Arduino is used\r\nin some project remotely installed and working independently.\r\n\r\nPlease enlighten.\r\n\r\n",Not Spam
"Dear Navdeep,The problem occurs only if the serial port isn't closed properly from scilab part and not from the arduino part.And this issue occurs if you forcefully closes any program during the simulation.As far as my knowledge,there is no such issue from the firmware part.Anyway, i will go through it and let you know.But, it will be good if you also can find if any such bug exists in the firmware.I didn't suggest you to perform toolbox related experiments and pure arduino experiments independently on different boards.First you perform all the related set of experiments either to toolbox or pure arduino sketches then other set of experiments.  Thanks,",Not Spam
"Dear Navdeep,The problem occurs only if the serial port isn't closed properly from scilab part and not from the arduino part.And this issue occurs if you forcefully closes any program during the simulation.As far as my knowledge,there is no such issue from the firmware part.Anyway, i will go through it and let you know.But, it will be good if you also can find if any such bug exists in the firmware.I didn't suggest you to perform toolbox related experiments and pure arduino experiments independently on different boards.First you perform all the related set of experiments either to toolbox or pure arduino sketches then other set of experiments.  Thanks,",Not Spam
"Yes you can, since Sandhi is an open source software. Please use grep command to locate code of any block. More information on grep command can be got from this link: spoken-tutorial.org/watch/Linux/The%2Bgrep%2Bcommand/English/",Not Spam
 hi i tried grep command to search implementation code for constant source block. i am unable to locate code.Can you please tell me how to do it step wise.If possible please share screenshots.,Not Spam
"Hi Navdeep, ""While working with the Arduino-Scilab toolbox, same issue come up everytime.Serial port does not close properly and I am unable to upload any program.""--- I think Arduino-Scilab toolbox is developed so that you need not 'Upload any program' in Arduino.Also as manas correctly said, serial port is not closed from scilab side(i.e. your computer machine/laptop). When we have any error in .sce file while working with scilab-arduino toolbox, code terminates in between so the close_serial (1) does not get executed. It happens quite a lot especially when you are learning new experiments. If one wants full-proof solution, we need to perform close_serial(1) every time scilab code terminates (because of whatever reason). So we need to catch the event of termination and run our function which has close_serial(1) written. I will post if it works. For the temporary solution we can perform following troubleshooting 1. use command abort and close_serial(1)2. remove and re-plug USB cable in laptop3. reset Arduino",Not Spam
1. Arduino Uno can be purchased from flipkart for Rs 540-Rs6002. You can get the opensource board layout from IIT Mumbai and get this fabricated from PCBPower. They charge Rs2500-Rs3000 for fabricating 20 bare boards(depending on number of days for delivery greater than 7 days).. Components cost varies/availibility from place to place. You may need to solder components on the bareboard.,Not Spam
"Dear Rajaneesh,                         Right now it supports only serial communication.But you can very well update the firmware for ethernet or any other type of communication protocol you wish.Thanks,Manas",Not Spam
In scilab-arduino toolbox .bin is compiled version of .sci macros.When you execute any example it actually uses .bin.,Not Spam
"HiThank you... On a similar line, could I convert .sce files or .zcos file to .bin files to speed up my performance?RegardsRajaneesh",Not Spam
 Whom should i contact to get the opensource board layout from IIT Mumbai ?,Not Spam
"Plz find the below link for the updated one.https://drive.google.com/open?id=0B4mrKFv8PNbWfnFnNEtudENKNGZxZWViRURoNGw1X3ZyQzJYd0ZNV05fWUxteFliSW1SajQExecute loader.sce and if same error occurs , plz refer the troubleshoot.txt file.",Not Spam
The rc filter you talking about is basically a DAC that will give analog output from PWM.You can implement it in firmware.,Not Spam
Hello Manas and Samruddh Thanks a lot for taking interest in this issue. The problem is clearly defined now and so it is easy to work in some direction with it.I am also working upon it and soon revert back if something comes up.Thanks and Regards ,Not Spam
"Hi,Thanks. It is working now.",Not Spam
"Hi,Please refer 4.1: http://gnuradio.org/redmine/projects/gnuradio/wiki/Guided_Tutorial_GNU_Radio_in_C++#41-C-or-Python",Not Spam
Video chat is not possible through this laptop. The camera driver doesn't support for it. ,Not Spam
"If you're in any institution or hostel, you may have to set LAN settings manually. Could you please tell us more about the issue? Can you ping/communicate to any other computer in your network? For eg;, in a terminal type:      ping 10.101.1.5 Replace the IP address with your other computer's address. ",Not Spam
Copy all the .py extension files to following location using sudo privilegesudo cp /path_of_your_python_files/  /usr/local/lib/python2.7/dist-packages/gnuradio/controls/sudo cp /path_of_your_python_files/  /usr/local/lib/python2.7/dist-packages/gnuradio/Copy all the .xml extension files to follwing location using sudo privilegesudo cp /path_of_your_xml_files/  /usr/local/share/gnuradio/grc/blocksThen click on blue Reload Blocks button available at Right top side then your block will appeared in right panel.,Not Spam
Ya it worked thanks a lot!!!,Not Spam
You may follow the third method from this post http://ubuntuhandbook.org/index.php/2014/09/3-ways-create-wifi-hotspot-ubuntu/,Not Spam
Write an email to laptop@fossee.in for possible replacement. ,Not Spam
Please give the link for code of  xml  file and python file.,Not Spam
i created block in C++,Not Spam
